,v1,v2
131,ham,der will cll tmorrowpls ccomodte
132,ham,first nswer my qestion
135,ham,i only hf msn its yijehotmilcom
136,ham,he is there yo cll nd meet him
137,ham,no no i will check ll rooms befor ctivities
139,ham,got c i lzy  type i forgot  in lect i sw  poch bt like not v nice
140,ham,k text me when yore on the wy
141,ham,sir witing for yor mil
142,ham, swt thoght nver get tired of doing little things  lovble persons cozsomtimes those little things occpy d biggest prt in their herts gd ni
143,ham,i know yo re cn yo pls open the bck
144,ham,yes see y not on the dot
145,ham,whts the stff nme who is tking clss for s
147,ham,mmmwill cll fter check inor life will begin from qtr so pls pry very hrd
148,ham,ki deleted my contct tht why
149,ham,sind got job in birl soft 
150,ham,the wine is flowing nd im i hve nevering
151,ham,yp i thk cine is better cos no need  go down  plz mh
152,ham,ok r typicl reply
153,ham,s per yor reqest melle melle or minnminnginte nrng vettm hs been set s yor cllertne for ll cllers press   copy yor friends cllertne
154,ham,yo re everywhere dirt on the floor the windows even on my shirt nd sometimes when i open my moth yo re ll tht comes flowing ot i drem of my world withot yo then hlf my chores re ot o  time of joy for me lots of tv shows ill see bt i gess like ll things yo jst mst exist like rin hil nd mist nd when my time here is done yo nd i become one
155,ham,ooooright re yo t work
156,ham,im leving my hose now
157,ham,hello my love wht re yo doing did yo get  tht interview dy re yo yo hppy re yo being  good boy do yo think of mere yo missing me 
160,ham,keep yorself sfe for me becse i need yo nd i miss yo lredy nd i envy everyone tht sees yo in rel life
161,ham,new cr nd hose for my prentsi hve only new job in hnd
162,ham,im so in love with yo im excited ech dy i spend with yo yo mke me so hppy
165,ham,i plce ll r points on e cltres modle lredy
167,ham,hi frnd which is best wy  void missnderstding wit or beloved ones
168,ham,gret escpe i fncy the bridge bt needs her lger see yo mo 
169,ham,yes it completely in ot of formclrk lso tter wste
170,ham,sir i need xis bnk ccont no nd bnk ddress
171,ham,hmmm thk sre got time  hop rd y cn go  free bt mz cll   discss lio 
172,ham,wht time yo coming down lter 
173,ham,bloody hell cnt believe yo forgot my srnme mr  ill give   cle its spnish nd begins with m 
174,ham,well im gonn finish my bth now hve  goodfine night
175,ham,let me know when yove got the money so crlos cn mke the cll
176,ham, still going  the mll
177,ham,trns ot my friends re stying for the whole show nd wont be bck til  ltgt  so feel free  go hed nd smoke tht  ltgt  worth
178,ham,text her if she doesnt reply let me know so i cn hve her log in
179,ham,hi yo jst spoke  mneesh v wed like  know if yo were stisfied with the experience reply ll free with yes or no
180,ham,yo lifted my hopes with the offer of money i m in need especilly when the end of the month pproches nd it hrts my stdying nywys hve  gr weekend
181,ham,lol no  cn trst me
182,ham,ok i m  gentlemn nd will tret yo with dignity nd respect
183,ham,he will yo gys close
184,ham,going on nothing gretbye
185,ham,hello hndsome  re yo finding tht job  not being lzy  working wrds getting bck tht net for mmmy  wheres my boyy now  does he miss me 
186,ham,hh wesome be there in  minte
188,ham,hve yo got xms rdio times if not i will get it now
189,ham,i js reched home i go bthe first bt my sis sing net tell  when she finishes k
191,ham,im sorry ive joined the lege of people tht dont keep in ch yo men  gret del  me yo hve been  friend t ll times even t gret personl cost do hve  gret week
192,ham,hi finlly i completed the corse
193,ham,it will sp on itself i however sggest she stys with someone tht will be ble  give ors for every sol
194,ham,how re yo doing hope yove settled in for the new school yer jst wishin yo  gr dy
195,ham,gd mrng der hv  nice dy
196,ham,did  got tht persons sry
197,ham,is yor hmster ded hey so tmr i meet yo t pm orchrd mrt 
198,ham,hi its kte how is yor evening i hope i cn see yo morrow for  bit bt i hve  bloody bbyjontet txt bck if  cn  xxx
199,ham,fond it enc  ltgt  where yo t
200,ham,i sent yo  ltgt  bcks
201,ham,hello drlin ive finished college now so txt me when  finish if  cn love kte xxx
202,ham,yor ccont hs been refilled sccessflly by inr  ltdecimlgt  yor kerlcircle prepid ccont blnce is rs  ltdecimlgt  yor trnsction id is kr ltgt 
203,ham,goodmorning sleeping g
204,ham, cll me lter t  ok
205,ham, sy  like dt i dn by ericsson oso cnnot oredi lr
206,ham,s i entered my cbin my p sid  hppy bdy boss  i felt specil she skd me  lnch fter lnch she invited me  her prtment we went there
207,ham,ight yo dts stright dogg
208,ham,yo plese give s connection dy itself before  ltdecimlgt  or refnd the bill
209,ham,both  i shoot big lods so get redy
210,ham,whts p brv hope yo hd  gret brek do hve  rewrding semester
211,ham,home so we cn lwys cht
212,ham,kkgoodstdy well
213,ham,yp how  noe leh
214,ham,sonds gret re yo home now
215,ham,finlly the mtch heding wrds drw s yor prediction
216,ham,tired i hvent slept well the pst few nights
217,ham,esy hsen got selected mens its good
218,ham,i hve  tke exm with mrch 
219,ham,yeh yo shold i think yo cn se yor gt tm now  register not sre bt if theres nywy i cn help let me know bt when yo do be sre yo re redy
220,ham,ok no prob tke r time
221,ham,there is os clled bnd which will rn withot instlling in hrd diskyo cn se tht os  copy the importnt files in system nd give it  repir shop
222,ham,sorry ill cll lter
223,ham, sy leh of corse nothing hppen lr not sy v romntic js  bit only lor i thk e nite scenery not so nice leh
225,ham,wold relly pprecite if yo cll me jst need someone  tlk 
227,ham,hey compny elm po mdydh
228,ham,life is more strict thn techer bcoz techer teches lesson mp then condcts exm bt life first condcts exm mp then teches lessons hppy morning  
229,ham,der good morning now only i m p
230,ham,get down in gndhiprm nd wlk  cross ct rod right side ltgt street rod nd trn t first right
231,ham,der we re going  or rbber plce
232,ham,sorry bttery died yeh im here
233,ham,yeshere tv is lwys vilble in work plce
235,ham,i hve printed it oh so  ltgt  come pstirs
236,ham,or ill be  little closer like t the bs sp on the sme street
237,ham,where re yowhen wil yo rech here
238,ham,new theory rgment wins d sittion bt loses the person so dont rge with r friends jst    kick them mp sy im lwys correct
240,ham,mrrow finl hering on my lpp cse so i cnt
241,ham,plessssssseeeeee tel me v vent done sportsx
242,ham,oky no no jst shining on tht ws ment  be signing bt tht sonds better
243,ham,lthogh i ld  dt im in big fce wtches now bt i relly like e wtch  gve cos its fr  thnx  everything dt ve done dy im ched
244,ham, dont remember tht old commercil
245,ham,o lte i sid i hve the website i didnt i hve or dont hve the slippers
246,ham,i sked yo  cll him now ok
247,ham,kllis wont bt in nd innings
248,ham,it didnt work gin oh ok goodnight then ill fix nd hve it redy by the time yo wke p yo re very derly missed hve  good night sleep
250,ham,rnjith cl drpd deerj nd deepk min hold
251,ham,wen r lovble bcms ngry wid  dnt tke it seriosly coz being ngry is d most childish n tre wy of showing deep ffection cre n lv ketd mnd hve nice dy d
252,ham,wht yo doinghow re yo
253,ham,ps which is dys lso nd the shipping compny tht tkes wks the other wy is sps which tkes  week bt when it gets  lg yo my hve  bribe nipost  get yor stff
254,ham,im bck lemme know when yore redy
255,ham,dont necessrily expect it  be done before yo get bck thogh becse im jst now hedin ot
256,ham,mmm so ymmy bbe  nice jolt  the szy
257,ham,where re yo lover  i need yo 
259,ham,im prked next   mini when re yo coming in dy do yo think
260,ham,yp
261,ham,nywy im going shopping on my own now cos my sis not done yet dn distrb  lio
262,ham,my no in ln  ring me if r rond h
264,ham,why yo dint come with s
265,ham,sme wn pln  trip sometme then
266,ham,not sre yet still trying  get  hold of him
268,ham,the evo i jst hd  downlod flsh jelos
270,ham,come  m were sorting ot or nrcotics sittion
271,ham,night hs ended for nother dy morning hs come in  specil wy my yo smile like the snny rys nd leves yor worries t the ble ble by
273,ham,sf i gess might s well tke  cr
274,ham,no objection my bf not coming
275,ham,thnx
276,ham,tell rob  mck his gf in the theter
277,ham,wesome ill see yo in  bit
278,ham,jst sent it so wht type of food do yo like
279,ham,ll done ll hnded in celebrtions in fll swing yet
280,ham,yo got clled  ol
281,ham,wen  miss someone
282,ham,ok i sked for money how fr
283,ham,okie
284,ham,yeh i think my sl gys still pssed ot from lst night if yo get hold of nybody let me know nd ill throw down
285,ham,k i might come by night then if my clss lets ot erly
286,ham,ok
287,ham,hi bby im crisin with my girl friend wht r  p  give me  cll in nd hor t home if thts lright or fone me on this fone now love jenny xxx
288,ham,my life mens  lot  me not becse i love my life bt becse i love the people in my life the world clls them friends i cll them my world ge
289,ham,dershll mil nitebsy in the streetshll pdte yo nitethings re looking okvrnnth edkkkyee rksh ollbt  good one in rel sense
290,ham,hey yo ld yor nme  gthm h
291,ham,hf  fond him i feel so stpid d v cm ws working
292,ham,oops  got tht bit
293,ham,re yo this mch bzy
294,ham,i ccidentlly deleted the messge resend plese
296,ham,nless its  sittion where yo go grl wold be more pproprite
297,ham,hrt me tese me mke me cry bt in the end of my life when i die plz keep one rose on my grve nd sy stpid i miss  hve  nice dy bslvyl
298,ham,i cnt pick the phone right now pls send  messge
299,ham,need  coffee rn mocnt believe its tht time of week lredy
300,ham,wesome i remember the lst time we got somebody high for the first time with diesel v
301,ham,shit tht is relly shocking nd scry cnt imgine for  second def p for night ot do  think there is somewhere i cold crsh for night sve on txi
302,ham,oh nd by the wy yo do hve more food in yor fridge wnt  go ot for  mel night 
303,ham,he is  womdrfll cr
305,ham,yp from wht i remb i think shold be cn book 
306,ham,jos sk if  wn meet p
307,ham,lol yes or friendship is hnging on  thred cse  wont by stff
309,ham,where re the grge keys they rent on the bookshelf
310,ham,dy is ccept dy ccept me s brother sister lover der best clos lvblefrnd jstfrnd ctefrnd lifprtnr belovd swthert bstfrnd no rply mens enemy
312,ham,he sys hell give me  cll when his friends got the money bt tht hes definitely bying before the end of the week
313,ham,hi the wy i ws with  dy is the norml wythis is the rel me r niqei hope i know   the rest of mylife hope  find wot ws lost
314,ham,yo mde my dy do hve  gret dy o
315,ham,kkdvnce hppy pongl
316,ham,hmmm gess we cn go  kb n power yog hh dnno we cn thn power yog not thk got lo oso forgot lio
317,ham,not relly dde hve no friends im frid 
319,ham,coffee cke i gess
320,ham,merry christms  yo o bbe i love y kisses
321,ham,hey why dont we jst go wtch x men nd hve lnch hh 
322,ham,cd  tell ppl im gon b  bit l cos  bses hv gon pst cos they were fll  im still witin   pete x
323,ham,tht wold be gret well be t the gild cold meet on brisl rod or somewhere  will get in ch over weekend or plns tke flight hve  good week
324,ham,no problem how re yo doing
325,ham,no cllsmessgesmissed clls
326,ham,hi dhow is the dys clss
327,ham,id sy thts  good sign bt well yo know my trck record t reding women
328,ham,cool text me when yore prked
329,ham,im reding the text i jst sent yo its ment  be  joke so red it in tht light
330,ham,kkpo kgood movie
331,ham,mybe i cold get book ot mo then retrn it immeditely  or something
333,ham,ny chnce yo might hve hd with me evported s soon s yo violted my privcy by steling my phone nmber from yor employers pperwork not cool t ll plese do not contct me gin or i will report yo  yor spervisor
335,ham,td i m home bbe re yo still p 
336,ham,cool so how come yo hvent been wined nd dined before
337,ham,jst sleepingnd srfing
338,ham,sorry ill cll lter
339,ham, clling me right cll my hnd phone
340,ham,ok thts gret thnx  lot
341,ham,i tke it the post hs come then yo mst hve s of texts now hppy reding my one from wiv hello croline t the end is my fvorite bless him
342,ham,where  been hiding strnger
343,ham,m not interested  do like tht
344,ham,my sister clered two rond in birl soft yesterdy
345,ham,gdnitetcprctice going on
346,ham,dis is yije i js sw r mil in cse himing hvent sent  my nm dis is my nm
347,ham,one smll prestige problem now
349,ham,jst checking in on yo relly do miss seeing jeremih do hve  gret month
350,ham,nh cnt help yo there ive never hd n iphone
351,ham,if yore not in my cr in n hor nd  hlf im going peshit
352,ham,dy is sorry dy if ever i ws ngry with yo if ever i misbehved or hrt yo plz plz jst slp rself bcoz its r flt im bsiclly good
353,ham,yo yo gys ever figre ot how mch we need for lcohol jy nd i re trying  figre ot how mch we cn sfely spend on weed
354,ham,ltgt ish mintes ws  mintes go wtf
355,ham,thnk yo for cllingforgot  sy hppy onm  yo sirjii m fine here nd remembered yo when i met n insrnce personmeet yo in qtr insh llhrkhesh ex tt ig who joined tisscotyseer
358,ham,im n cr when i work i work in the evening nd sleep lte since im nemployed t the moment i lwys sleep lte when yore nemployed every dy is strdy
359,ham,hello jst got here st ndrewsboy its  long wy its cold i will keep yo posted
360,ham,h h cool cool chikk chikkdb
361,ham,oh ok no prob
362,ham,check dreys stts right now
363,ham,bsy here trying  finish for new yer i m looking forwrd  finlly meeting yo
364,ham,good fternoon snshine how dwns tht dy  re we refreshed nd hppy  be live do we brethe in the ir nd smile  i think of yo my love  s lwys
365,ham,well i know z will tke cre of me so no worries
368,ham,wt niform in where get
369,ham,cool text me when yore redy
370,ham,hello my boyy  geeee i miss yo lredy nd i jst woke p i wish yo were here in bed with me cddling me i love yo 
371,ham,i will spoil yo in bed s well 
372,ham,im going for bth will msg yo next  ltgt  min
373,ham,i cnt keep tlking  people if m not sre i cn py them if they gree  price so pls tell me wht yo wnt  relly by nd how mch yo re willing  py
375,ham,cn yo sy wht hppen
376,ham,yo cold hve seen mei didt recognise yo fce
377,ham,well theres not  lot of things hppening in lindsy on new yers sighs some brs in ptbo nd the ble heron hs something going
378,ham,keep my pysm there if rin brings
379,ham,i tght tht rnjith sir clled me so only i sms like tht becs hes verifying bot project prb ld dy so only p dont mistke me
380,ham,i gess thts why yo re worried yo mst know tht theres  wy the body repirs itself nd im qite sre yo sholdnt worry well tke it slow first the tests they will gide when yor ovltion is then jst relx nothing yove sid is  reson  worry bt ill keep on followin yo p
381,ham,yeh sre give me  cople mintes  trck down my wllet
382,ham,hey leve it not  big del tke cre
383,ham,hey i will be lte h meet yo t 
385,ham,it ok mr owl  licks
386,ham,csmer plce i will cll yo
387,ham,mm tht time yo dont like fn
389,ham,yp hving my lnch bffet now  et lredy
390,ham,hh so lte fr dinner
391,ham,hey so this st re we going for the intro piltes only or the kickboxing o 
392,ham,morning only i cn ok
393,ham,yes i think so i m in office bt my lp is in room i think thts on for the lst few dys i didnt sht tht down
394,ham,pick yo p bot ish wht time re  nd tht going
395,ham,from here fter the performnce wrd is clclted every two monthnot for crrent one month period
396,ham,ws ctlly sleeping nd still might when  cll bck so  text is gr yo rock sis will send   text wen i wke
397,ham,yo re lwys ptting yor bsiness ot there yo pt pictres of yor ss on fcebook yo re one of the most open people ive ever met why wold i think  pictre of yor room wold hrt yo mke yo feel violted
398,ham,good evening sir l slm whleykkmshring  hppy newsby the grce of god i got n offer from tyseertissco nd i joinedhope yo re fineinshh llhmeet yo sometimerkheshvisir from indi
399,ham,hmmmkbt i wnt  chnge the field qickly di wnn get system dministrr or network dministrr
401,ham,der how is chechi did yo tlk  her
402,ham,the hir crem hs not been shipped
403,ham,none of thts hppening til yo get here thogh
404,ham,yep the gret loxhtchee xms tree brning of  ltgt  strts in n hor
405,ham,hh get sed  driving  sf mn i know  lot of sners
406,ham,ll ws well  slightly disstros clss this pm with my fv drlings hope dy off ok coffee wld be good s cnt sty lte morrow sme time  plce s lwys
407,ham,hello good week fncy  drink or something lter
408,ham,hedin wrds bsep
409,ham,messgesome text missing sendernme missing nmber missing sentdte missing missing   lot thts y everything is missing sent vi fllonsmscom
410,ham,come by or room t some point so we cn iron ot the pln for this weekend
411,ham,cos i wnt it  be yor thing
412,ham,okies ill go yn ji o we cn skip rd oso go cine den go mrt one blh blh blh 
413,ham,bring home some wendy d
415,ham,whtsp there dont  wnt  sleep
416,ham,lright i hve  new gol now
418,ham,lright ill hed ot in  few mintes text me where  meet yo
420,ham,yesfrom lst week itself im tking live cll
422,ham,siv is in hostel h
424,ham,send this  r friends nd receive something bot r voice how is my speking expression childish nghty sentiment rowdy fl of ttitde romntic shy ttrctive fnny  ltgt irritting  ltgt lovble reply me
425,ham,ok shell be ok i gess
426,ham,thiwhere re yo der
427,ham,ny pin on rintion ny thing else
428,ham, t esplnde do  mind giving me  lift cos i got no cr dy
429,ham,i wnt  by  bmw cr rgentlyits vry rgentbt hv  shortge of  ltgt lcsthere is no sorce  rng dis mt ltgt lcsthts my prob
430,ham,t home wtching tv lor
431,ham,does she slly tke fifteen fcking mintes  respond   yes or no qestion
433,ham,booked ticket for pongl
434,ham,yo vilble now im like right rond hillsborogh mp  ltgt th
435,ham,the messge sent is skin for  ltgt dollrs shol i py  ltgt  or  ltgt 
436,ham,sk g or iori ive ld the sry like ten times lredy
437,ham,how long does pplebees fcking tke
438,ham,hi hope  get this txtjorney hsnt been gdnow bot  mins lte i think
439,ham,bt i hve  i like  hve love nd rrnge
440,ham,yeshe is relly gretbhji ld kllis best cricketer fter schin in worldvery gh  get ot
441,ham,yo were spposed  wke me p gt
442,ham,oic i sw him o bt i t he din c me i fond  grop lio
443,ham,sorry ill cll lter
444,ham,hey hey werethe monkeespeople sy we monkeyrond howdy gorgeos
445,ham,sorry my bttery died i cn come by bt im only getting  grm for now wheres yor plce
446,ham,well done blimey exercise yeh i kind remember wot tht is hmm 
447,ham,i wont get concentrtion der yo know yo re my mind nd everything 
448,ham,lol  hve yo mde plns for new yers
449,ham, min lter k
450,ham,hnks lotsly
451,ham,thnks for this hope yo hd  good dy dy
452,ham,kkwht re detil yo wnt  trnsfercc no enogh
453,ham,ok i will tell her  sty ot yeh its been gh bt we re optimistic things will improve this month
455,ham,si si i think ill go mke those oreo trffles
456,ham,look t my re  betifl intelligent womn nd i like   lot i know  dont like me like tht so dont worry
457,ham,i hope yo thts the reslt of being consistently intelligent nd kind strt sking him bot prcticm links nd keep yor ers open nd ll the best ttyl
458,ham, tht cll cost which i gess isnt bd miss y need y wnt y love y
459,ham,going thr  very different feelingwvering decisions nd coping p with the sme is the sme individltime will hel everything i believe
460,ham,where did  go my phone is gonn die yo hve  sty in here
461,ham,gret never been better ech dy gives even more resons  thnk god
463,ham,sorry ill cll lter ok bye
464,ham,ok i m on the wy  rilwy
465,ham,gret princess i love giving nd receiving orl doggy style is my fve position how bot yo i enjoy mking love  ltgt  times per night 
466,ham,they dont pt tht stff on the rods  keep it from getting slippery over there
467,ham,when re yo going  ride yor bike
468,ham,yp no need ill js wit  e rin  sp
469,ham,there re mny compny tell me the lngge
471,ham,how long hs it been since yo scremed princess
472,ham,nothing i ment tht once the money enters yor ccont here the bnk will remove its flt rte someone trnsfered  ltgt   my ccont nd  ltgt dollrs got removed so the bnks differ nd chrges lso differbe sre yo trst the j person yo re sending ccont detils  cos
474,ham,nice line sid by  broken hert plz dont cm  more times infront of me other wise once gin i ll trst  good t
475,ham,ok im gonn hed p  sf in like fifteen mintes
476,ham,love yo thilove  lot
477,ham,tension hwht mchiny problem
478,ham,k cn i pick p nother th when yore done
479,ham,whenre yo gys getting bck g sid yo were thinking bot not stying for mcr
480,ham,lmost there see  in  sec
481,ham,yo crlos  few friends re lredy sking me bot yo yo working t ll this weekend
482,ham,wtching tv lor
483,ham,thnk yo bby i cnt wit  tste the rel thing
484,ham,yo shold chnge yor fb  jykwon thglyfe flconerf
485,ham,if we win its relly no  side for long time
487,ham,der reched rilwy wht hppen  yo
488,ham,depends on qlity if yo wnt the type i sent boye fded glory then bot  if yo wnt rlphs mybe 
489,ham,i think ive fixed it cn yo send  test messge
490,ham,sorry mn my cconts dry or i wold if yo wnt we cold trde bck hlf or i cold by some shit with my credit crd
492,ham,sorryin meeting ill cll lter
493,ham,wht clss of  ltgt  renion
494,ham,re yo free nowcn i cll now
495,ham,got meh when
496,ham,nope think i will go for it on mondy sorry i replied so lte
497,ham,some of them ld ccentre is not confirm is it tre
498,ham,kte jckson rec center before ish right
499,ham,der i hve reche room
500,ham,fighting with the world is esy  either win or lose bt fightng with some who is close   is dificlt if  lose   lose if  win   still lose
501,ham,when cn  come ot
502,ham,check with nerologist
503,ham,lolnice i went from  fish  wter
505,ham,no its witing in e cr dts bored wt cos wit otside got nothing  do t home cn do my stff or wtch tv wt
506,ham,mybe westshore or hyde prk villge the plce ner my hose
507,ham,yo shold know now so hows nthony re yo bringing money ive school fees  py nd rent nd stff like tht thts why i need yor help  friend in need
508,ham,whts the significnce
509,ham,yor opinion bot me  over  jd  ksrthi  lovble  silent  spl chrcter  not mtred  stylish  simple pls reply
510,ham, t the ltest gs still there if yo cn scronge p some mmo nd wnt  give the new k  try
511,ham,prbhim sorydrelyfrm hert im sory
512,ham,lol ok yor forgiven 
513,ham,nojst chnge tt only
515,ham,sno competition for him
518,ham,tht wy trnsport is less problemtic thn on st night by the wy if  wnt  sk  n   join my bdy feel free bt need  know definite nos s booking on fri 
519,ham,slly the person is nconscios thts in children bt in dlts they my jst behve bnormlly ill cll yo now
520,ham,bt thts on eby it might be less elsewhere
521,ham,shll i come  get pickle
522,ham,were gonn go get some tcos
523,ham,thts very rde yo on cmps
525,ham,hi i wont b rd  christms bt do enjoy n merry xms
527,ham,yes how is  pretty ldy like yo single
529,ham,jy sys tht yore  doblefggot
531,ham,wht dysndysndy is holidyso no work
532,ham,gdnitetcprctice going on
533,ham,ill be lte
534,ham,ive not clled yo in  while this is hoping it ws lr mlri nd tht yo know tht we miss yo gys i miss bni big so pls give her my love especilly hve  gret dy
535,ham,good fternoon my love how goes tht dy  i hope mybe yo got some leds on  job i think of yo boyy nd send yo  pssionte kiss from cross the se
